Offset-Description                                                                   
0000 - String            20C3A040 : DCH_EVO1           20BFCC40 : FIA_COU            
00E8 - Pointer           20C3A128 : P->3EB33333        20BFCD28 : P->3EB33333        
00EC - Byte              20C3A12C : 36                 20BFCD2C : 149                
00ED - Byte              20C3A12D : 40                 20BFCD2D : 101                
00EE - Byte              20C3A12E : 62                 20BFCD2E : 40                 
00EF - Byte              20C3A12F : 62                 20BFCD2F : 62                 
00F0 - Float             20C3A130 : 7.422350407        20BFCD30 : 1.916027784        
00F4 - Pointer           20C3A134 : P->40BD6D90        20BFCD34 : P->4085D855        
00F8 - Float             20C3A138 : 0.25               20BFCD38 : 0.25               
00FC - Pointer           20C3A13C : P->3EB33333        20BFCD3C : P->3EB33333        
0100 - Byte              20C3A140 : 36                 20BFCD40 : 149                
0101 - String            20C3A141 : (>>ƒ               20BFCD41 : e(>J               
0105 - Byte              20C3A145 : 127                20BFCD45 : 160                
0106 - Byte              20C3A146 : 180                20BFCD46 : 9                  
0107 - Byte              20C3A147 : 64                 20BFCD47 : 65                 
0108 - Float             20C3A148 : 2                  20BFCD48 : 2                  
010C - Double            20C3A14C : 0.0002929687616187920BFCD4C : 0.000292968761618795
0114 - Double            20C3A154 : 3.44000053411639   20BFCD54 : 3.44000053408695   
011C - Double            20C3A15C : 0.0002929687616187920BFCD5C : 0.000292968761618795
0124 - 4 Bytes (Hex)     20C3A164 : 00010501           20BFCD64 : 00020201           
0128 - Float             20C3A168 : 800                20BFCD68 : 800                
012C - Float             20C3A16C : 650                20BFCD6C : 350                
0130 - 4 Bytes           20C3A170 : 0                  20BFCD70 : 0                  
0134 - Float             20C3A174 : 0.009999999776     20BFCD74 : 0.009999999776     
0138 - Pointer           20C3A178 : P->3FEF8034        20BFCD78 : P->4003B646        
013C - Double            20C3A17C : 0.000030517578125  20BFCD7C : 0.000030517578125  
0144 - Float             20C3A184 : 1                  20BFCD84 : 1                  
0148 - Float             20C3A188 : 1                  20BFCD88 : 1                  
014C - Float             20C3A18C : 1                  20BFCD8C : 1                  
0150 - Float             20C3A190 : 1                  20BFCD90 : 1                  
0154 - Float             20C3A194 : 1                  20BFCD94 : 1                  
0158 - Float             20C3A198 : 1                  20BFCD98 : 1                  
015C - Float             20C3A19C : 1                  20BFCD9C : 1                  
0160 - Float             20C3A1A0 : 1                  20BFCDA0 : 1                  
0164 - 4 Bytes           20C3A1A4 : 1                  20BFCDA4 : 0                  
0168 - 4 Bytes           20C3A1A8 : 0                  20BFCDA8 : 0                  
016C - 4 Bytes           20C3A1AC : 0                  20BFCDAC : 1065353216         
0170 - Double            20C3A1B0 : 69.1199951171876   20BFCDB0 : 54.5280151367188   
0178 - Double            20C3A1B8 : 0.0027343746925180320BFCDB8 : 0.00273437469251803
0180 - Float             20C3A1C0 : -4.079999924       20BFCDC0 : -3.799999952       
0184 - Float             20C3A1C4 : 4.079999924        20BFCDC4 : 3.799999952        
0188 - Float             20C3A1C8 : 2.519999981        20BFCDC8 : 2.234999895        
018C - Float             20C3A1CC : 1.769999981        20BFCDCC : 1.519999981        
0190 - Float             20C3A1D0 : 1.25999999         20BFCDD0 : 1.156000018        
0194 - Byte              20C3A1D4 : 0                  20BFCDD4 : 231                
0195 - Byte              20C3A1D5 : 0                  20BFCDD5 : 251                
0196 - Byte              20C3A1D6 : 128                20BFCDD6 : 105                
0197 - Byte              20C3A1D7 : 63                 20BFCDD7 : 63                 
0198 - 4 Bytes           20C3A1D8 : 0                  20BFCDD8 : 0                  
019C - 4 Bytes           20C3A1DC : 0                  20BFCDDC : 0                  
01A0 - 4 Bytes           20C3A1E0 : 0                  20BFCDE0 : 0                  
01A4 - Pointer           20C3A1E4 : P->3C23D70A        20BFCDE4 : P->3C23D70A        
01A8 - Pointer           20C3A1E8 : P->3C23D70A        20BFCDE8 : P->3C23D70A        
01AC - Pointer           20C3A1EC : P->3C0B4396        20BFCDEC : P->3C0B4396        
01B0 - Float             20C3A1F0 : 0.007000000216     20BFCDF0 : 0.007000000216     
01B4 - Float             20C3A1F4 : 0.00549999997      20BFCDF4 : 0.00549999997      
01B8 - Float             20C3A1F8 : 0.00400000019      20BFCDF8 : 0.00400000019      
01BC - Float             20C3A1FC : 0.002499999944     20BFCDFC : 0.002499999944     
01C0 - Pointer           20C3A200 : P->3C23D70A        20BFCE00 : P->3C23D70A        
01C4 - Float             20C3A204 : 0.001000000047     20BFCE04 : 0.001000000047     
01C8 - Float             20C3A208 : 1                  20BFCE08 : 1                  
01CC - Double            20C3A20C : 0.0065625021158484720BFCE0C : 0.00656250211584847
01D4 - Double            20C3A214 : 0.0065625021158484720BFCE14 : 0.00656250211584847
01DC - Double            20C3A21C : 0.0065625021158484720BFCE1C : 0.00656250211584847
01E4 - Double            20C3A224 : 0.0065625021158484720BFCE24 : 0.00656250211584847
01EC - Double            20C3A22C : 0.0008789064582742820BFCE2C : 0.000878906458274287
01F4 - Double            20C3A234 : 0.0008789064582742820BFCE34 : 0.000878906458274287
01FC - Double            20C3A23C : 0.0008789064582742820BFCE3C : 0.000878906458274287
0204 - Double            20C3A244 : 0.0008789064582742820BFCE44 : 0.000878906458274287
020C - Pointer           20C3A24C : P->3F4CCCCD        20BFCE4C : P->3F4CCCCD        
0210 - Pointer           20C3A250 : P->3C23D70A        20BFCE50 : P->3C23D70A        
0214 - Float             20C3A254 : 1217               20BFCE54 : 1231               
0218 - Double            20C3A258 : 0.114000037351216  20BFCE58 : 0.120000019700965  
0220 - Pointer           20C3A260 : P->3FB9FBE7        20BFCE60 : P->3FBCCCCD        
0224 - 4 Bytes           20C3A264 : 0                  20BFCE64 : 0                  
0228 - 4 Bytes           20C3A268 : 0                  20BFCE68 : 0                  
022C - Pointer           20C3A26C : P->3C23D70A        20BFCE6C : P->3C23D70A        
0230 - Float             20C3A270 : 54.12755203        20BFCE70 : -108.2551041       
0234 - Float             20C3A274 : 108.2551041        20BFCE74 : -108.2551041       
0238 - Float             20C3A278 : 0.002000000095     20BFCE78 : 0.002000000095     
023C - Float             20C3A27C : 0.3400000036       20BFCE7C : 0.3400000036       
0240 - Float             20C3A280 : 0.75               20BFCE80 : 0.75               
0244 - Float             20C3A284 : 0.75               20BFCE84 : 0.75               
0248 - 4 Bytes           20C3A288 : 0                  20BFCE88 : 0                  
024C - 4 Bytes           20C3A28C : 0                  20BFCE8C : 0                  
0250 - 4 Bytes           20C3A290 : 0                  20BFCE90 : 0                  
0254 - Pointer           20C3A294 : P->3D810625        20BFCE94 : P->3D872B02        
0258 - Float             20C3A298 : 800                20BFCE98 : 800                
025C - String            20C3A29C : fff?               20BFCE9C : fff?               
0261 - Byte              20C3A2A1 : 0                  20BFCEA1 : 0                  
0262 - Byte              20C3A2A2 : 128                20BFCEA2 : 128                
0263 - Byte              20C3A2A3 : 63                 20BFCEA3 : 63                 
0264 - Float             20C3A2A4 : 1                  20BFCEA4 : 1                  
0268 - Double            20C3A2A8 : 4.56000233689882   20BFCEA8 : 4.56000233689882   
0270 - Float             20C3A2B0 : 9                  20BFCEB0 : 12                 
0274 - Float             20C3A2B4 : 36                 20BFCEB4 : 36                 
0278 - 4 Bytes           20C3A2B8 : 0                  20BFCEB8 : 0                  
027C - 4 Bytes           20C3A2BC : 0                  20BFCEBC : 0                  
0280 - String            20C3A2C0 : DCH_EVO1           20BFCEC0 : FIA_COU            
0288 - CC                20C3A2C8 : 2463               20BFCEC8 : 1996               
028C - PS                20C3A2CC : 194                20BFCECC : 220                
0290 - HP RPM            20C3A2D0 : 6800               20BFCED0 : 5750               
0294 - k-gm              20C3A2D4 : 24                 20BFCED4 : 31                 
0298 - Torque RPM        20C3A2D8 : 5000               20BFCED8 : 2500               
029C - Float             20C3A2DC : -4.079999924       20BFCEDC : -3.799999952       
02A0 - Float             20C3A2E0 : 4.079999924        20BFCEE0 : 3.799999952        
02A4 - Float             20C3A2E4 : 2.519999981        20BFCEE4 : 2.234999895        
02A8 - Float             20C3A2E8 : 1.769999981        20BFCEE8 : 1.519999981        
02AC - Float             20C3A2EC : 1.25999999         20BFCEEC : 1.156000018        
02B0 - Byte              20C3A2F0 : 0                  20BFCEF0 : 231                
02B1 - Byte              20C3A2F1 : 0                  20BFCEF1 : 251                
02B2 - Byte              20C3A2F2 : 128                20BFCEF2 : 105                
02B3 - Byte              20C3A2F3 : 63                 20BFCEF3 : 63                 
02B4 - 4 Bytes           20C3A2F4 : 0                  20BFCEF4 : 0                  
02B8 - 4 Bytes           20C3A2F8 : 0                  20BFCEF8 : 0                  
02BC - Double            20C3A2FC : 69.1199951171875   20BFCEFC : 54.5280151367188   
02C4 - Sound?            20C3A304 : 1                  20BFCF04 : 256                
02C8 - Weight            20C3A308 : 1320               20BFCF08 : 1330               
02CC - 4 Bytes           20C3A30C : 4430               20BFCF0C : 4250               
02D0 - 4 Bytes           20C3A310 : 1342               20BFCF10 : 1355               
02D4 - 4 Bytes           20C3A314 : 1720               20BFCF14 : 1765               
02D8 - 4 Bytes           20C3A318 : 5                  20BFCF18 : 5                  
02DC - Price             20C3A31C : 9350               20BFCF1C : 3890               
02E0 - Category          20C3A320 : 0                  20BFCF20 : 0                  
02E4 - 4 Bytes           20C3A324 : 0                  20BFCF24 : 0                  
02E8 - 4 Bytes           20C3A328 : 0                  20BFCF28 : 0                  
02EC - 4 Bytes           20C3A32C : 1                  20BFCF2C : 0                  
02F0 - 4 Bytes           20C3A330 : 0                  20BFCF30 : 8191               
02F4 - Manufacture       20C3A334 : FF011100           20BFCF34 : FF000B00           
02F8 - String            20C3A338 : 190E EVOLUTION I   20BFCF38 : COUPE FIAT TURBOPLUS   
0310 - String            20C3A350 : DCH_EVO1           20BFCF50 : FIA_COU            
0319 - Byte              20C3A359 : 0                  20BFCF59 : 0                  
031A - Byte              20C3A35A : 0                  20BFCF5A : 0                  
031B - Byte              20C3A35B : 0                  20BFCF5B : 0                  
031C - Float             20C3A35C : 12800              20BFCF5C : 12800              
0320 - Float             20C3A360 : 12800              20BFCF60 : 12800              
0324 - Float             20C3A364 : 7500               20BFCF64 : 6500               
0328 - Float             20C3A368 : 235.1999969        20BFCF68 : 303.7999878        
032C - Double            20C3A36C : 0.0000331625995530220BFCF6C : 0.000141287134723708
0334 - Double            20C3A374 : 0.0007519532212798620BFCF74 : 0.00237146997303259
033C - Double            20C3A37C : 0.0029296879609592 20BFCF7C : 0.00781250184744544
0344 - Byte              20C3A384 : 29                 20BFCF84 : 202                
0345 - Byte              20C3A385 : 34                 20BFCF85 : 25                 
0346 - 2 Bytes           20C3A386 : 16242              20BFCF86 : 16254              
0348 - Float             20C3A388 : 0.9604169726       20BFCF88 : 0.9906449914       
034C - Float             20C3A38C : 0.9670829773       20BFCF8C : 0.9864519835       
0350 - Double            20C3A390 : 0.0069791870115417 20BFCF90 : 0.00615925061691087
0358 - Byte              20C3A398 : 125                20BFCF98 : 10                 
0359 - String            20C3A399 : w?                20BFCF99 : Út?]               
035D - Byte              20C3A39D : 0                  20BFCF9D : 140                
035E - Byte              20C3A39E : 128                20BFCF9E : 113                
035F - Byte              20C3A39F : 63                 20BFCF9F : 63                 
0360 - Double            20C3A3A0 : 0.0049218768179889620BFCFA0 : 0.00133064039768097
0368 - Double            20C3A3A8 : 0.0016080785986772120BFCFA8 : 0.0000670996521931088
0370 - Byte              20C3A3B0 : 195                20BFCFB0 : 230                
0371 - String            20C3A3B1 : õH?"              20BFCFB1 : ê¿>
Ö              
0376 - Byte              20C3A3B6 : 50                 20BFCFB6 : 72                 
0377 - Byte              20C3A3B7 : 63                 20BFCFB7 : 62                 
0378 - Pointer           20C3A3B8 : P->3F147AE1        20BFCFB8 : P->3649539C        
037C - String            20C3A3BC : %–ì>)              20BFCFBC : œSI6œ              
0381 - Byte              20C3A3C1 : 92                 20BFCFC1 : 83                 
0382 - Byte              20C3A3C2 : 159                20BFCFC2 : 73                 
0383 - Byte              20C3A3C3 : 62                 20BFCFC3 : 54                 
0384 - 4 Bytes           20C3A3C4 : 1042983617         20BFCFC4 : 910775196          
0388 - 4 Bytes           20C3A3C8 : 0                  20BFCFC8 : 910775196          
038C - 4 Bytes           20C3A3CC : 0                  20BFCFCC : 910775196          
0390 - 4 Bytes           20C3A3D0 : 0                  20BFCFD0 : 910775196          
0394 - 4 Bytes           20C3A3D4 : 0                  20BFCFD4 : 910775196          
0398 - 4 Bytes           20C3A3D8 : 0                  20BFCFD8 : 910775196          
039C - 4 Bytes           20C3A3DC : 0                  20BFCFDC : 910775196          
03A0 - 4 Bytes           20C3A3E0 : 0                  20BFCFE0 : 910775196          
03A4 - 4 Bytes           20C3A3E4 : 0                  20BFCFE4 : 910775196          
03A8 - 4 Bytes           20C3A3E8 : 0                  20BFCFE8 : 910775196          
03AC - Double            20C3A3EC : 0.0027343747006671 20BFCFEC : 0.0027343747006671 
03B4 - Float             20C3A3F4 : 1                  20BFCFF4 : 1                  
03B8 - Pointer           20C3A3F8 : P->3D75C28F        20BFCFF8 : P->3E1EB852        
03BC - Double            20C3A3FC : 853.33349609375    20BFCFFC : 3.14285659790039   
03C4 - Pointer           20C3A404 : P->00000000        20BFD004 : P->3FB33333        
03C8 - Float             20C3A408 : 10                 20BFD008 : 10                 
03CC - Byte              20C3A40C : 174                20BFD00C : 174                
03CD - Byte              20C3A40D : 71                 20BFD00D : 71                 
03CE - Byte              20C3A40E : 97                 20BFD00E : 97                 
03CF - Byte              20C3A40F : 62                 20BFD00F : 62                 
03D0 - 4 Bytes           20C3A410 : 0                  20BFD010 : 0                  
03D4 - Float             20C3A414 : 10                 20BFD014 : 10                 
03D8 - 4 Bytes           20C3A418 : 1796               20BFD018 : 1028               
03DC - String            20C3A41C : DCH_EVO1           20BFD01C : FIA_COU            
03E5 - Byte              20C3A425 : 0                  20BFD025 : 0                  
03E6 - Byte              20C3A426 : 0                  20BFD026 : 0                  
03E7 - Byte              20C3A427 : 0                  20BFD027 : 0                  
03E8 - Float             20C3A428 : 12800              20BFD028 : 12800              
03EC - Float             20C3A42C : 12800              20BFD02C : 12800              
03F0 - Float             20C3A430 : 7500               20BFD030 : 6500               
03F4 - Pointer           20C3A434 : P->437481C2        20BFD034 : P->439CA97A        
03F8 - Double            20C3A438 : 0.0000331625995530220BFD038 : 0.000141287134723708
0400 - Double            20C3A440 : 0.0007519532212798620BFD040 : 0.00237146997303259
0408 - Double            20C3A448 : 0.0029296879609592 20BFD048 : 0.00781250184744544
0410 - Byte              20C3A450 : 29                 20BFD050 : 202                
0411 - Byte              20C3A451 : 34                 20BFD051 : 25                 
0412 - 2 Bytes           20C3A452 : 16242              20BFD052 : 16254              
0414 - Float             20C3A454 : 0.9604169726       20BFD054 : 0.9906449914       
0418 - Float             20C3A458 : 0.9670829773       20BFD058 : 0.9864519835       
041C - Double            20C3A45C : 0.0069791870115417 20BFD05C : 0.00615925061691087
0424 - Byte              20C3A464 : 125                20BFD064 : 10                 
0425 - String            20C3A465 : w?                20BFD065 : Út?]               
0429 - Byte              20C3A469 : 0                  20BFD069 : 140                
042A - Byte              20C3A46A : 128                20BFD06A : 113                
042B - Byte              20C3A46B : 63                 20BFD06B : 63                 
042C - Double            20C3A46C : 0.0049218768179889620BFD06C : 0.00133064039768097
0434 - Double            20C3A474 : 0.0016080785986772120BFD074 : 0.0000670996521931088
043C - Byte              20C3A47C : 195                20BFD07C : 230                
043D - String            20C3A47D : õH?"              20BFD07D : ê¿>
Ö              
0442 - Byte              20C3A482 : 50                 20BFD082 : 72                 
0443 - Byte              20C3A483 : 63                 20BFD083 : 62                 
0444 - Pointer           20C3A484 : P->3F147AE1        20BFD084 : P->3649539C        
0448 - String            20C3A488 : %–ì>)              20BFD088 : œSI6œ              
044D - Byte              20C3A48D : 92                 20BFD08D : 83                 
044E - Byte              20C3A48E : 159                20BFD08E : 73                 
044F - Byte              20C3A48F : 62                 20BFD08F : 54                 
0450 - 4 Bytes           20C3A490 : 1042983617         20BFD090 : 910775196          
0454 - 4 Bytes           20C3A494 : 0                  20BFD094 : 910775196          
0458 - 4 Bytes           20C3A498 : 0                  20BFD098 : 910775196          
045C - 4 Bytes           20C3A49C : 0                  20BFD09C : 910775196          
0460 - 4 Bytes           20C3A4A0 : 0                  20BFD0A0 : 910775196          
0464 - 4 Bytes           20C3A4A4 : 0                  20BFD0A4 : 910775196          
0468 - 4 Bytes           20C3A4A8 : 0                  20BFD0A8 : 910775196          
046C - 4 Bytes           20C3A4AC : 0                  20BFD0AC : 910775196          
0470 - 4 Bytes           20C3A4B0 : 0                  20BFD0B0 : 910775196          
0474 - 4 Bytes           20C3A4B4 : 0                  20BFD0B4 : 910775196          
0478 - Double            20C3A4B8 : 0.0027343747006671 20BFD0B8 : 0.0027343747006671 
0480 - Float             20C3A4C0 : 1                  20BFD0C0 : 1                  
0484 - Pointer           20C3A4C4 : P->3D7F7C17        20BFD0C4 : P->3E23B221        
0488 - Double            20C3A4C8 : 449.939453125      20BFD0C8 : 1.38461494445801   
0490 - Double            20C3A4D0 : 0.0019986517727375 20BFD0D0 : 7.05641269356012   
0498 - Byte              20C3A4D8 : 174                20BFD0D8 : 174                
0499 - Byte              20C3A4D9 : 71                 20BFD0D9 : 71                 
049A - Byte              20C3A4DA : 97                 20BFD0DA : 97                 
049B - Byte              20C3A4DB : 62                 20BFD0DB : 62                 
049C - 4 Bytes           20C3A4DC : 0                  20BFD0DC : 0                  
04A0 - Float             20C3A4E0 : 10                 20BFD0E0 : 10                 
04A4 - 4 Bytes           20C3A4E4 : 1796               20BFD0E4 : 1028               
04A8 - String            20C3A4E8 : DCH_EVO1           20BFD0E8 : FIA_COU            
04B1 - Byte              20C3A4F1 : 0                  20BFD0F1 : 0                  
04B2 - Byte              20C3A4F2 : 0                  20BFD0F2 : 0                  
04B3 - Byte              20C3A4F3 : 0                  20BFD0F3 : 0                  
04B4 - Float             20C3A4F4 : 12800              20BFD0F4 : 12800              
04B8 - Float             20C3A4F8 : 12800              20BFD0F8 : 12800              
04BC - Float             20C3A4FC : 7500               20BFD0FC : 6500               
04C0 - Pointer           20C3A500 : P->437DD051        20BFD100 : P->43A16C8D        
04C4 - Double            20C3A504 : 0.0000331625995530220BFD104 : 0.000141287134723708
04CC - Double            20C3A50C : 0.0007519532212798620BFD10C : 0.00237146997303259
04D4 - Double            20C3A514 : 0.0029296879609592 20BFD114 : 0.00781250184744544
04DC - Byte              20C3A51C : 29                 20BFD11C : 202                
04DD - Byte              20C3A51D : 34                 20BFD11D : 25                 
04DE - 2 Bytes           20C3A51E : 16242              20BFD11E : 16254              
04E0 - Float             20C3A520 : 0.9604169726       20BFD120 : 0.9906449914       
04E4 - Float             20C3A524 : 0.9670829773       20BFD124 : 0.9864519835       
04E8 - Double            20C3A528 : 0.0069791870115417 20BFD128 : 0.00615925061691087
04F0 - Byte              20C3A530 : 125                20BFD130 : 10                 
04F1 - String            20C3A531 : w?                20BFD131 : Út?]               
04F5 - Byte              20C3A535 : 0                  20BFD135 : 140                
04F6 - Byte              20C3A536 : 128                20BFD136 : 113                
04F7 - Byte              20C3A537 : 63                 20BFD137 : 63                 
04F8 - Double            20C3A538 : 0.0049218768179889620BFD138 : 0.00133064039768097
0500 - Double            20C3A540 : 0.0016080785986772120BFD140 : 0.0000670996521931088
0508 - Byte              20C3A548 : 195                20BFD148 : 230                
0509 - String            20C3A549 : õH?"              20BFD149 : ê¿>
Ö              
050E - Byte              20C3A54E : 50                 20BFD14E : 72                 
050F - Byte              20C3A54F : 63                 20BFD14F : 62                 
0510 - Pointer           20C3A550 : P->3F147AE1        20BFD150 : P->3649539C        
0514 - String            20C3A554 : %–ì>)              20BFD154 : œSI6œ              
0519 - Byte              20C3A559 : 92                 20BFD159 : 83                 
051A - Byte              20C3A55A : 159                20BFD15A : 73                 
051B - Byte              20C3A55B : 62                 20BFD15B : 54                 
051C - 4 Bytes           20C3A55C : 1042983617         20BFD15C : 910775196          
0520 - 4 Bytes           20C3A560 : 0                  20BFD160 : 910775196          
0524 - 4 Bytes           20C3A564 : 0                  20BFD164 : 910775196          
0528 - 4 Bytes           20C3A568 : 0                  20BFD168 : 910775196          
052C - 4 Bytes           20C3A56C : 0                  20BFD16C : 910775196          
0530 - 4 Bytes           20C3A570 : 0                  20BFD170 : 910775196          
0534 - 4 Bytes           20C3A574 : 0                  20BFD174 : 910775196          
0538 - 4 Bytes           20C3A578 : 0                  20BFD178 : 910775196          
053C - 4 Bytes           20C3A57C : 0                  20BFD17C : 910775196          
0540 - 4 Bytes           20C3A580 : 0                  20BFD180 : 910775196          
0544 - Double            20C3A584 : 0.0027343747006671 20BFD184 : 0.0027343747006671 
054C - Float             20C3A58C : 1                  20BFD18C : 1                  
0550 - Pointer           20C3A590 : P->3D849ACF        20BFD190 : P->3E28ABF1        
0554 - Double            20C3A594 : 184.888916015625   20BFD194 : 0.488372087478638  
055C - Double            20C3A59C : 0.0051415599882602720BFD19C : 9.16589545786381   
0564 - Byte              20C3A5A4 : 174                20BFD1A4 : 174                
0565 - Byte              20C3A5A5 : 71                 20BFD1A5 : 71                 
0566 - Byte              20C3A5A6 : 97                 20BFD1A6 : 97                 
0567 - Byte              20C3A5A7 : 62                 20BFD1A7 : 62                 
0568 - 4 Bytes           20C3A5A8 : 0                  20BFD1A8 : 0                  
056C - Float             20C3A5AC : 10                 20BFD1AC : 10                 
0570 - 4 Bytes           20C3A5B0 : 1796               20BFD1B0 : 1028               
0574 - String            20C3A5B4 : DCH_EVO1           20BFD1B4 : FIA_COU            
057D - Byte              20C3A5BD : 0                  20BFD1BD : 0                  
057E - Byte              20C3A5BE : 0                  20BFD1BE : 0                  
057F - Byte              20C3A5BF : 0                  20BFD1BF : 0                  
0580 - Float             20C3A5C0 : 12800              20BFD1C0 : 12800              
0584 - Float             20C3A5C4 : 12800              20BFD1C4 : 12800              
0588 - Float             20C3A5C8 : 7500               20BFD1C8 : 6500               
058C - Pointer           20C3A5CC : P->43838F6F        20BFD1CC : P->43A62FA1        
0590 - Double            20C3A5D0 : 0.0000331625995530220BFD1D0 : 0.000141287134723708
0598 - Double            20C3A5D8 : 0.0007519532212798620BFD1D8 : 0.00237146997303259
05A0 - Double            20C3A5E0 : 0.0029296879609592 20BFD1E0 : 0.00781250184744544
05A8 - Byte              20C3A5E8 : 29                 20BFD1E8 : 202                
05A9 - Byte              20C3A5E9 : 34                 20BFD1E9 : 25                 
05AA - 2 Bytes           20C3A5EA : 16242              20BFD1EA : 16254              
05AC - Float             20C3A5EC : 0.9604169726       20BFD1EC : 0.9906449914       
05B0 - Float             20C3A5F0 : 0.9670829773       20BFD1F0 : 0.9864519835       
05B4 - Double            20C3A5F4 : 0.0069791870115417 20BFD1F4 : 0.00615925061691087
05BC - Byte              20C3A5FC : 125                20BFD1FC : 10                 
05BD - String            20C3A5FD : w?                20BFD1FD : Út?]               
05C1 - Byte              20C3A601 : 0                  20BFD201 : 140                
05C2 - Byte              20C3A602 : 128                20BFD202 : 113                
05C3 - Byte              20C3A603 : 63                 20BFD203 : 63                 
05C4 - Double            20C3A604 : 0.0049218768179889620BFD204 : 0.00133064039768097
05CC - Double            20C3A60C : 0.0016080785986772120BFD20C : 0.0000670996521931088
05D4 - Byte              20C3A614 : 195                20BFD214 : 230                
05D5 - String            20C3A615 : õH?"              20BFD215 : ê¿>
Ö              
05DA - Byte              20C3A61A : 50                 20BFD21A : 72                 
05DB - Byte              20C3A61B : 63                 20BFD21B : 62                 
05DC - Pointer           20C3A61C : P->3F147AE1        20BFD21C : P->3649539C        
05E0 - String            20C3A620 : %–ì>)              20BFD220 : œSI6œ              
05E5 - Byte              20C3A625 : 92                 20BFD225 : 83                 
05E6 - Byte              20C3A626 : 159                20BFD226 : 73                 
05E7 - Byte              20C3A627 : 62                 20BFD227 : 54                 
05E8 - 4 Bytes           20C3A628 : 1042983617         20BFD228 : 910775196          
05EC - 4 Bytes           20C3A62C : 0                  20BFD22C : 910775196          
05F0 - 4 Bytes           20C3A630 : 0                  20BFD230 : 910775196          
